"Serial","Name","Third party identifier","Communication status","Timestamp","State","Source","Lat","Lon","Accuracy","Address","Geozones","Altitude (m)"
"G2L9PQ","DS TEST T2","","ONLINE","2025-02-05T10:58:00+0000","STOP","GPS","51.92722","-2.57843","","HR97QQ","Clean Laundry, HR97QQ",""
"G31GY9","TAG G31GY9","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","","Wildmoor Mill","Bromsgrove HQ",""
"G3N9XR","TAG G3N9XR","","ONLINE","2026-02-17T08:21:00+0000","STOP","GPS","52.37624","-2.06351","","Wildmoor Mill","Bromsgrove HQ",""
"G3PKG7","TAG G3PKG7","","ONLINE","2026-02-17T07:49:00+0000","STOP","GPS","52.37635","-2.06302","","Wildmoor Mill","Bromsgrove HQ",""
"G3XL6J","AT TEST T1","","ONLINE","2025-09-08T09:56:00+0000","STOP","GPS","52.73568","-2.7285","","SY14EP","Elis (Guardian) Healthcare, SY14EP, Guardian Healthcare, SY14EP",""
"G41VKX","CD TEST T2","","ONLINE","2025-03-28T08:57:00+0000","STOP","GPS","52.39608","-2.00757","0","Park Way, Rednal, B45 9PG, United Kingdom","",""
"G43GMX","AT TEST T2","","ONLINE","2026-02-02T11:45:00+0000","STOP","GPS","51.86672","-2.2298","0","Gloucestershire Royal Hospital, Great Western Road, Wotton, Gloucester, Gloucestershire, England, GL1 3NN, United Kingdom","Gloucestershire Royal Hospital",""
"G474JQ","TAG G474JQ","","ONLINE","2026-02-16T22:28:00+0000","STOP","GPS","52.37614","-2.06359","","Wildmoor Mill","Bromsgrove HQ",""
"G4X44H","TAG G4X44H","","ONLINE","2026-02-17T07:49:00+0000","STOP","GPS","52.37635","-2.06302","","Wildmoor Mill","Bromsgrove HQ",""
"G6GV1U","TAG G6GV1U","","ONLINE","2026-02-12T09:02:00+0000","STOP","GPS","52.37476","-2.06472","","Wildmoor Mill","Bromsgrove HQ",""
"HEAEMM","WHS HEAEMM","","ONLINE","2026-02-11T08:40:00+0000","STOP","WIFI","54.33617238","-2.74009335","15","Mintsfeet Road, Mintsfeet, Kendal, Westmorland and Furness, England, LA9 6RU, United Kingdom","Elis Kendal",""
"JVYNC7","ACQSYS JVYNC7","","ONLINE","2026-02-17T03:46:00+0000","STOP","GPS","52.60661","-1.93087","21","Lockside, Anchor Brook Industrial Estate, Stubbers Green, Aldridge, West Midlands, England, WS9 8EQ, United Kingdom","","110"
"JXDEGN","ACQSYS JXDEGN","","ONLINE","2026-02-16T13:27:00+0000","STOP","GPS","52.3761","-2.0628","22","Wildmoor Mill","Bromsgrove HQ","160"
"JY41VQ","ACQSYS JY41VQ","","ONLINE","2026-02-16T21:20:00+0000","STOP","WIFI","51.4688452","-0.45023516","18","Cosmopolitan Way, London Borough of Hillingdon, Greater London, England, TW6 1SL, United Kingdom","",""
"JY7Y7D","ACQSYS JY7Y7D","","ONLINE","2026-02-17T00:55:00+0000","STOP","GPS","51.90907","-0.66216","22","Bupa Dental Care, Boss Avenue, Leighton-Linslade, Leighton Buzzard, Central Bedfordshire, England, LU7 4SP, United Kingdom","","100"
"K163GY","ACQSYS (SC) K163GY","","ONLINE","2026-02-16T15:53:00+0000","STOP","GPS","51.33855","0.52754","17","The Oak, 1, Robin Hood Lane, Walderslade, Chatham, Kent, England, ME5 9NT, United Kingdom","","80"
"K29HTR","ACQSYS (SC) K29HTR","","ONLINE","2026-02-16T07:43:00+0000","STOP","GPS","52.29014","-1.58492","9","Warwick Hospital, Pembroke Close, Woodloes Park, Warwick, Warwickshire, England, CV34 5HT, United Kingdom","","70"
"K3496V","ACQSYS K3496V","","ONLINE","2026-02-17T06:33:00+0000","START","WIFI","51.14698764","-2.99258559","27","Express Park, Express Park Industrial Estate, Bridgwater Without, Chilton Trinity, Somerset, England, TA6 4RR, United Kingdom","",""
"K3VEH7","ACQSYS K3VEH7","","ONLINE","2026-02-17T02:06:00+0000","STOP","WIFI","51.53377443","-0.12838296","31","Pancras Road, King's Cross, London Borough of Camden, Greater London, England, NW1 1UN, United Kingdom","",""
"K67W4C","ACQSYS K67W4C","","ONLINE","2026-02-17T07:59:00+0000","START","GPS","52.47559","-2.11145","4","HomeSense, Two Woods Lane, Mount Pleasant, Quarry Bank, Dudley, West Midlands, England, DY5 1SY, United Kingdom","","130"
"K6J2KY","ACQSYS K6J2KY","","ONLINE","2026-02-16T15:29:00+0000","STOP","GPS","52.37632","-2.06323","8","Wildmoor Mill","Bromsgrove HQ","140"
"K9CZHM","ACQSYS (SC) K9CZHM","","ONLINE","2026-02-17T07:47:00+0000","START","WIFI","53.70607022","-1.3941419","15","Foxbridge Way, Normanton Industrial Estate, Featherstone, Whitwood, Wakefield, West Yorkshire, England, WF6 1TN, United Kingdom","IFCO , WF61TL, NHS Supply Chain, WF61TL, Unipart Logistics, WF61TL",""
"K9YN2V","ACQSYS K9YN2V","","ONLINE","2026-02-16T17:24:00+0000","STOP","GPS","52.37586","-2.06344","31","Wildmoor Mill","Bromsgrove HQ","150"
"MF46MV","RCR25 MF46MV","","ONLINE","2026-02-17T07:42:00+0000","STOP","GPS","52.37658","-2.06387","10","Wildmoor Mill","Bromsgrove HQ","120"
"MFJCLJ","RCR25 MFJCLJ","","ONLINE","2026-02-16T20:51:00+0000","STOP","GPS","52.37623","-2.06314","11","Wildmoor Mill","Bromsgrove HQ","130"
"MG7QW2","RCR25 MG7QW2","","ONLINE","2026-02-17T08:08:00+0000","STOP","GPS","52.37614","-2.06414","24","Wildmoor Mill","Bromsgrove HQ","120"
"MGTPEA","WHS MGTPEA","","ONLINE","2026-02-16T13:44:00+0000","STOP","GPS","52.51641","-1.83157","40","Firtree Road, Birches Green, Gravelly Hill, Birmingham, West Midlands, England, B24 9SH, United Kingdom","",""
"MH7AYA","RCR25 MH7AYA","","ONLINE","2026-02-17T07:13:00+0000","STOP","GPS","52.40248","-1.26517","18","Cosford Lane, Cosford CP, Newbold on Avon, Rugby, Warwickshire, England, CV21 1HS, United Kingdom","","-20"
"MHQR41","ACQSYS MHQR41","","ONLINE","2026-02-16T19:11:00+0000","STOP","WIFI","50.84990223","-1.06979686","15","Nightingale Road, Cosham, Portsmouth, England, PO6 3UD, United Kingdom","",""
"MJL9GQ","RCR25 MJL9GQ","","ONLINE","2026-02-16T09:35:00+0000","STOP","GPS","52.37644","-2.06356","12","Wildmoor Mill","Bromsgrove HQ","130"
"MJLEJA","RCR25 MJLEJA","","OFFLINE","2025-09-20T07:16:00+0000","START","GPS","51.58097","-0.46445","7","Newyears Green Lane, London, UB9 6LS, United Kingdom","",""
"MJW7Z3","RCR25 MJW7Z3","","ONLINE","2026-02-17T07:50:00+0000","STOP","WIFI","53.70593758","-1.39461344","39","Foxbridge Way, Normanton Industrial Estate, Featherstone, Whitwood, Wakefield, West Yorkshire, England, WF6 1TN, United Kingdom","IFCO , WF61TL, NHS Supply Chain, WF61TL, Unipart Logistics, WF61TL",""
"MK7XQA","RCR25 MK7XQA","","ONLINE","2026-02-17T06:53:00+0000","STOP","GPS","52.40249","-1.26517","25","Cosford Lane, Cosford CP, Newbold on Avon, Rugby, Warwickshire, England, CV21 1HS, United Kingdom","","230"
"MLCVNV","RCR25 MLCVNV","","ONLINE","2026-02-16T19:09:00+0000","STOP","GPS","52.37236","-2.04864","45","Woodrow Lane, Marlbrook, Catshill and North Marlbrook CP, Lydiate Ash, Bromsgrove, Worcestershire, England, B61 0HY, United Kingdom","","800"
"MLGHCT","RCR25 MLGHCT","","ONLINE","2026-02-16T12:25:00+0000","STOP","GPS","52.37618","-2.06324","23","Wildmoor Mill","Bromsgrove HQ","120"
"MN4DCD","RCR25 MN4DCD","","ONLINE","2026-02-17T03:43:00+0000","STOP","GPS","53.08434","-1.37025","9","DE554QJ","NHS Supply Chain, DE554QJ, Unipart Logistics, DE554QJ","110"
"MNQHXE","RCR25 MNQHXE","","ONLINE","2026-02-17T07:24:00+0000","STOP","GPS","52.37651","-2.06368","19","Wildmoor Mill","Bromsgrove HQ","160"
"MPTH6T","RCR25 MPTH6T","","ONLINE","2026-02-16T09:34:00+0000","STOP","GPS","52.37623","-2.06339","12","Wildmoor Mill","Bromsgrove HQ","150"
"MR9MVN","RCR25 MR9MVN","","ONLINE","2026-02-16T12:18:00+0000","STOP","WIFI","52.41638637","-1.7749392","15","Union Road, Elmdon Heath, Metropolitan Borough of Solihull, West Midlands, England, B91 3DG, United Kingdom","",""
